[0712/011517.764:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x6b4001b0800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0712/011517.822:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x6b4001b0800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0712/012141.835:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x172c001b8400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0712/012141.924:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x172c001b8400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0712/012142.020:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x172c001b8400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0712/012142.040:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x172c001b8400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0712/153537.534:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x68a4001b6800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0712/153537.635:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x68a4001b6800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0712/153537.738:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x68a4001b6800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0712/153537.759:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x68a4001b6800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0712/160227.962:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0xb7c001b5c00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
